"","OCCSOC","Soc_last1","Soc_last2","Soc_last3"
"131","35-9021","35-9020","35-9000","35-9000"
"132","43-9021","43-9020","43-9000","43-9000"
"133","13-1023","13-1020","13-1000","13-1000"
"134","29-1123","29-1120","29-1100","29-1000"
"135","43-5061","43-5060","43-5000","43-5000"
"136","53-3051","53-3050","53-3000","53-3000"
"137","17-2110","17-2110","17-2100","17-2000"
"138","27-1010","27-1010","27-1000","27-1000"
"139","11-3121","11-3120","11-3100","11-3000"
"140","43-6011","43-6010","43-6000","43-6000"
"141","27-2022","27-2020","27-2000","27-2000"
"142","35-9011","35-9010","35-9000","35-9000"
"143","17-2070","17-2070","17-2000","17-2000"
"144","29-11XX","29-11X0","29-1100","29-1000"
"145","39-9031","39-9030","39-9000","39-9000"
"146","39-5092","39-5090","39-5000","39-5000"
"147","43-3071","43-3070","43-3000","43-3000"
"148","51-9111","51-9110","51-9100","51-9000"
"149","19-40YY","19-40Y0","19-4000","19-4000"
"150","49-1011","49-1010","49-1000","49-1000"
"151","21-1093","21-1090","21-1000","21-1000"
"152","51-3020","51-3020","51-3000","51-3000"
"153","37-1011","37-1010","37-1000","37-1000"
"154","11-3061","11-3060","11-3000","11-3000"
"155","53-3052","53-3050","53-3000","53-3000"
"156","27-3043","27-3040","27-3000","27-3000"
"157","39-30XX","39-30X0","39-3000","39-3000"
"158","15-1244","15-1240","15-1200","15-1000"
"159","29-112X","29-1120","29-1100","29-1000"
"160","29-2034","29-2030","29-2000","29-2000"
"161","41-3031","41-3030","41-3000","41-3000"
"162","51-3011","51-3010","51-3000","51-3000"
"163","43-9041","43-9040","43-9000","43-9000"
"164","49-90XX","49-90X0","49-9000","49-9000"
"165","17-1011","17-1010","17-1000","17-1000"
"166","47-2181","47-2180","47-2100","47-2000"
"167","49-3040","49-3040","49-3000","49-3000"
"168","53-2010","53-2010","53-2000","53-2000"
"169","11-9041","11-9040","11-9000","11-9000"
"170","13-1022","13-1020","13-1000","13-1000"
"171","25-3041","25-3040","25-3000","25-3000"
"172","27-2012","27-2010","27-2000","27-2000"
"173","21-1019","21-1010","21-1000","21-1000"
"174","25-4022","25-4020","25-4000","25-4000"
"175","49-3011","49-3010","49-3000","49-3000"
"176","55-3010","55-3010","55-3000","55-3000"
"177","31-909X","31-9090","31-9000","31-9000"
"178","29-1292","29-1290","29-1200","29-1000"
"179","43-4111","43-4110","43-4100","43-4000"
"180","13-1081","13-1080","13-1000","13-1000"
"181","35-3041","35-3040","35-3000","35-3000"
"182","29-2072","29-2070","29-2000","29-2000"
"183","29-1127","29-1120","29-1100","29-1000"
"184","31-9011","31-9010","31-9000","31-9000"
"185","43-5032","43-5030","43-5000","43-5000"
"186","39-9032","39-9030","39-9000","39-9000"
"187","27-4021","27-4020","27-4000","27-4000"
"188","13-1151","13-1150","13-1100","13-1000"
"189","29-1020","29-1020","29-1000","29-1000"
"190","15-1212","15-1210","15-1200","15-1000"
"191","15-2031","15-2030","15-2000","15-2000"
"192","19-10XX","19-10X0","19-1000","19-1000"
"193","21-1014","21-1010","21-1000","21-1000"
"194","19-303X","19-3030","19-3000","19-3000"
"195","33-909X","33-9090","33-9000","33-9000"
"196","49-2020","49-2020","49-2000","49-2000"
"197","29-1071","29-1070","29-1000","29-1000"
"198","13-1051","13-1050","13-1000","13-1000"
"199","43-3051","43-3050","43-3000","43-3000"
"200","37-1012","37-1010","37-1000","37-1000"
"201","29-2056","29-2050","29-2000","29-2000"
"202","25-90XX","25-90X0","25-9000","25-9000"
"203","29-2090","29-2090","29-2000","29-2000"
"204","27-2042","27-2040","27-2000","27-2000"
"205","33-3021","33-3020","33-3000","33-3000"
"206","17-2011","17-2010","17-2000","17-2000"
"207","13-1121","13-1120","13-1100","13-1000"
"208","29-1122","29-1120","29-1100","29-1000"
"209","49-2011","49-2010","49-2000","49-2000"
"210","27-3031","27-3030","27-3000","27-3000"
"211","51-9120","51-9120","51-9100","51-9000"
"212","51-5112","51-5110","51-5100","51-5000"
"213","43-4071","43-4070","43-4000","43-4000"
"214","51-3099","51-3090","51-3000","51-3000"
"215","27-3041","27-3040","27-3000","27-3000"
"216","47-2XXX","47-2XX0","47-2X00","47-2000"
"217","15-124X","15-1240","15-1200","15-1000"
"218","53-3099","53-3090","53-3000","53-3000"
"219","43-30XX","43-30X0","43-3000","43-3000"
"220","21-1011","21-1010","21-1000","21-1000"
"221","47-2040","47-2040","47-2000","47-2000"
"222","47-2211","47-2210","47-2200","47-2000"
"223","51-6011","51-6010","51-6000","51-6000"
"224","43-4131","43-4130","43-4100","43-4000"
"225","51-6031","51-6030","51-6000","51-6000"
"226","47-2080","47-2080","47-2000","47-2000"
"227","39-9099","39-9090","39-9000","39-9000"
"228","11-9081","11-9080","11-9000","11-9000"
"229","49-3021","49-3020","49-3000","49-3000"
"230","43-3011","43-3010","43-3000","43-3000"
"231","43-4081","43-4080","43-4000","43-4000"
"232","13-2053","13-2050","13-2000","13-2000"
"233","29-2042","29-2040","29-2000","29-2000"
"234","49-9051","49-9050","49-9000","49-9000"
"235","43-5051","43-5050","43-5000","43-5000"
"236","31-9097","31-9090","31-9000","31-9000"
"237","39-5011","39-5010","39-5000","39-5000"
"238","41-2022","41-2020","41-2000","41-2000"
"239","11-3013","11-3010","11-3000","11-3000"
"240","29-1126","29-1120","29-1100","29-1000"
"241","31-2020","31-2020","31-2000","31-2000"
"242","51-2020","51-2020","51-2000","51-2000"
"243","43-4181","43-4180","43-4100","43-4000"
"244","49-9052","49-9050","49-9000","49-9000"
"245","29-2043","29-2040","29-2000","29-2000"
"246","15-1241","15-1240","15-1200","15-1000"
"247","41-3011","41-3010","41-3000","41-3000"
"248","47-4011","47-4010","47-4000","47-4000"
"249","27-1025","27-1020","27-1000","27-1000"
"250","53-6030","53-6030","53-6000","53-6000"
"251","43-4YYY","43-4YY0","43-4Y00","43-4000"
"252","11-2030","11-2030","11-2000","11-2000"
"253","53-2031","53-2030","53-2000","53-2000"
"254","21-109X","21-1090","21-1000","21-1000"
"255","29-2053","29-2050","29-2000","29-2000"
"256","27-40XX","27-40X0","27-4000","27-4000"
"257","43-4121","43-4120","43-4100","43-4000"
"258","29-1031","29-1030","29-1000","29-1000"
