"","SocCode","Soc_last1","Soc_last2","Soc_last3"
"579","47-2021","47-2020","47-2000","47-2000"
"580","47-2022","47-2020","47-2000","47-2000"
"581","47-2031","47-2030","47-2000","47-2000"
"582","47-2041","47-2040","47-2000","47-2000"
"583","47-2042","47-2040","47-2000","47-2000"
"584","47-2043","47-2040","47-2000","47-2000"
"585","47-2044","47-2040","47-2000","47-2000"
"586","47-2051","47-2050","47-2000","47-2000"
"587","47-2053","47-2050","47-2000","47-2000"
"588","47-2061","47-2060","47-2000","47-2000"
"589","47-2071","47-2070","47-2000","47-2000"
"590","47-2072","47-2070","47-2000","47-2000"
"591","47-2073","47-2070","47-2000","47-2000"
"592","47-2081","47-2080","47-2000","47-2000"
"593","47-2082","47-2080","47-2000","47-2000"
"594","47-2111","47-2110","47-2100","47-2000"
"595","47-2121","47-2120","47-2100","47-2000"
"596","47-2131","47-2130","47-2100","47-2000"
"597","47-2132","47-2130","47-2100","47-2000"
"598","47-2141","47-2140","47-2100","47-2000"
"599","47-2142","47-2140","47-2100","47-2000"
"600","47-2151","47-2150","47-2100","47-2000"
"601","47-2152","47-2150","47-2100","47-2000"
"602","47-2161","47-2160","47-2100","47-2000"
"603","47-2171","47-2170","47-2100","47-2000"
"604","47-2181","47-2180","47-2100","47-2000"
"605","47-2211","47-2210","47-2200","47-2000"
"606","47-2221","47-2220","47-2200","47-2000"
"607","47-2231","47-2230","47-2200","47-2000"
"608","47-3011","47-3010","47-3000","47-3000"
"609","47-3012","47-3010","47-3000","47-3000"
"610","47-3013","47-3010","47-3000","47-3000"
"611","47-3014","47-3010","47-3000","47-3000"
"612","47-3015","47-3010","47-3000","47-3000"
"613","47-3016","47-3010","47-3000","47-3000"
"614","47-3019","47-3010","47-3000","47-3000"
"615","47-4011","47-4010","47-4000","47-4000"
"616","47-4021","47-4020","47-4000","47-4000"
"617","47-4031","47-4030","47-4000","47-4000"
"618","47-4041","47-4040","47-4000","47-4000"
"619","47-4051","47-4050","47-4000","47-4000"
"620","47-4061","47-4060","47-4000","47-4000"
"621","47-4071","47-4070","47-4000","47-4000"
"622","47-4091","47-4090","47-4000","47-4000"
"623","47-4099","47-4090","47-4000","47-4000"
"624","47-5011","47-5010","47-5000","47-5000"
"625","47-5012","47-5010","47-5000","47-5000"
"626","47-5013","47-5010","47-5000","47-5000"
"627","47-5022","47-5020","47-5000","47-5000"
"628","47-5023","47-5020","47-5000","47-5000"
"629","47-5032","47-5030","47-5000","47-5000"
"630","47-5041","47-5040","47-5000","47-5000"
"631","47-5043","47-5040","47-5000","47-5000"
"632","47-5044","47-5040","47-5000","47-5000"
"633","47-5049","47-5040","47-5000","47-5000"
"634","47-5051","47-5050","47-5000","47-5000"
"635","47-5071","47-5070","47-5000","47-5000"
"636","47-5081","47-5080","47-5000","47-5000"
"637","47-5099","47-5090","47-5000","47-5000"
"638","49-1011","49-1010","49-1000","49-1000"
"639","49-2011","49-2010","49-2000","49-2000"
"640","49-2021","49-2020","49-2000","49-2000"
"641","49-2022","49-2020","49-2000","49-2000"
"642","49-2091","49-2090","49-2000","49-2000"
"643","49-2092","49-2090","49-2000","49-2000"
"644","49-2093","49-2090","49-2000","49-2000"
"645","49-2094","49-2090","49-2000","49-2000"
"646","49-2095","49-2090","49-2000","49-2000"
"647","49-2096","49-2090","49-2000","49-2000"
"648","49-2097","49-2090","49-2000","49-2000"
"649","49-2098","49-2090","49-2000","49-2000"
"650","49-3011","49-3010","49-3000","49-3000"
"651","49-3021","49-3020","49-3000","49-3000"
"652","49-3022","49-3020","49-3000","49-3000"
"653","49-3023","49-3020","49-3000","49-3000"
"654","49-3031","49-3030","49-3000","49-3000"
"655","49-3041","49-3040","49-3000","49-3000"
"656","49-3042","49-3040","49-3000","49-3000"
"657","49-3043","49-3040","49-3000","49-3000"
"658","49-3051","49-3050","49-3000","49-3000"
"659","49-3052","49-3050","49-3000","49-3000"
"660","49-3053","49-3050","49-3000","49-3000"
"661","49-3091","49-3090","49-3000","49-3000"
"662","49-3092","49-3090","49-3000","49-3000"
"663","49-3093","49-3090","49-3000","49-3000"
"664","49-9011","49-9010","49-9000","49-9000"
"665","49-9012","49-9010","49-9000","49-9000"
"666","49-9021","49-9020","49-9000","49-9000"
"667","49-9031","49-9030","49-9000","49-9000"
"668","49-9041","49-9040","49-9000","49-9000"
"669","49-9043","49-9040","49-9000","49-9000"
"670","49-9044","49-9040","49-9000","49-9000"
"671","49-9045","49-9040","49-9000","49-9000"
"672","49-9051","49-9050","49-9000","49-9000"
"673","49-9052","49-9050","49-9000","49-9000"
"674","49-9061","49-9060","49-9000","49-9000"
"675","49-9062","49-9060","49-9000","49-9000"
"676","49-9063","49-9060","49-9000","49-9000"
"677","49-9064","49-9060","49-9000","49-9000"
"678","49-9069","49-9060","49-9000","49-9000"
"679","49-9071","49-9070","49-9000","49-9000"
"680","49-9081","49-9080","49-9000","49-9000"
"681","49-9091","49-9090","49-9000","49-9000"
"682","49-9092","49-9090","49-9000","49-9000"
"683","49-9094","49-9090","49-9000","49-9000"
"684","49-9095","49-9090","49-9000","49-9000"
"685","49-9096","49-9090","49-9000","49-9000"
"686","49-9097","49-9090","49-9000","49-9000"
"687","49-9098","49-9090","49-9000","49-9000"
"688","49-9099","49-9090","49-9000","49-9000"
"689","51-1011","51-1010","51-1000","51-1000"
"690","51-2011","51-2010","51-2000","51-2000"
"691","51-2021","51-2020","51-2000","51-2000"
"692","51-2022","51-2020","51-2000","51-2000"
"693","51-2023","51-2020","51-2000","51-2000"
"694","51-2031","51-2030","51-2000","51-2000"
"695","51-2041","51-2040","51-2000","51-2000"
"696","51-2051","51-2050","51-2000","51-2000"
"697","51-2061","51-2060","51-2000","51-2000"
"698","51-2092","51-2090","51-2000","51-2000"
"699","51-2099","51-2090","51-2000","51-2000"
"700","51-3011","51-3010","51-3000","51-3000"
"701","51-3021","51-3020","51-3000","51-3000"
"702","51-3022","51-3020","51-3000","51-3000"
"703","51-3023","51-3020","51-3000","51-3000"
"704","51-3091","51-3090","51-3000","51-3000"
"705","51-3092","51-3090","51-3000","51-3000"
"706","51-3093","51-3090","51-3000","51-3000"
"707","51-3099","51-3090","51-3000","51-3000"
"708","51-4021","51-4020","51-4000","51-4000"
"709","51-4022","51-4020","51-4000","51-4000"
"710","51-4023","51-4020","51-4000","51-4000"
"711","51-4031","51-4030","51-4000","51-4000"
"712","51-4032","51-4030","51-4000","51-4000"
"713","51-4033","51-4030","51-4000","51-4000"
"714","51-4034","51-4030","51-4000","51-4000"
"715","51-4035","51-4030","51-4000","51-4000"
"716","51-4041","51-4040","51-4000","51-4000"
"717","51-4051","51-4050","51-4000","51-4000"
"718","51-4052","51-4050","51-4000","51-4000"
"719","51-4061","51-4060","51-4000","51-4000"
"720","51-4062","51-4060","51-4000","51-4000"
"721","51-4071","51-4070","51-4000","51-4000"
"722","51-4072","51-4070","51-4000","51-4000"
"723","51-4081","51-4080","51-4000","51-4000"
"724","51-4111","51-4110","51-4100","51-4000"
"725","51-4121","51-4120","51-4100","51-4000"
"726","51-4122","51-4120","51-4100","51-4000"
"727","51-4191","51-4190","51-4100","51-4000"
"728","51-4192","51-4190","51-4100","51-4000"
"729","51-4193","51-4190","51-4100","51-4000"
"730","51-4194","51-4190","51-4100","51-4000"
"731","51-4199","51-4190","51-4100","51-4000"
"732","51-5111","51-5110","51-5100","51-5000"
"733","51-5112","51-5110","51-5100","51-5000"
"734","51-5113","51-5110","51-5100","51-5000"
"735","51-6011","51-6010","51-6000","51-6000"
"736","51-6021","51-6020","51-6000","51-6000"
"737","51-6031","51-6030","51-6000","51-6000"
"738","51-6041","51-6040","51-6000","51-6000"
"739","51-6042","51-6040","51-6000","51-6000"
"740","51-6051","51-6050","51-6000","51-6000"
"741","51-6052","51-6050","51-6000","51-6000"
"742","51-6061","51-6060","51-6000","51-6000"
"743","51-6062","51-6060","51-6000","51-6000"
"744","51-6063","51-6060","51-6000","51-6000"
"745","51-6064","51-6060","51-6000","51-6000"
"746","51-6091","51-6090","51-6000","51-6000"
"747","51-6092","51-6090","51-6000","51-6000"
"748","51-6093","51-6090","51-6000","51-6000"
"749","51-6099","51-6090","51-6000","51-6000"
"750","51-7011","51-7010","51-7000","51-7000"
"751","51-7021","51-7020","51-7000","51-7000"
"752","51-7031","51-7030","51-7000","51-7000"
"753","51-7032","51-7030","51-7000","51-7000"
"754","51-7041","51-7040","51-7000","51-7000"
"755","51-7042","51-7040","51-7000","51-7000"
"756","51-7099","51-7090","51-7000","51-7000"
"757","51-8011","51-8010","51-8000","51-8000"
"758","51-8012","51-8010","51-8000","51-8000"
"759","51-8013","51-8010","51-8000","51-8000"
"760","51-8021","51-8020","51-8000","51-8000"
"761","51-8031","51-8030","51-8000","51-8000"
"762","51-8091","51-8090","51-8000","51-8000"
"763","51-8092","51-8090","51-8000","51-8000"
"764","51-8093","51-8090","51-8000","51-8000"
"765","51-8099","51-8090","51-8000","51-8000"
"766","51-9011","51-9010","51-9000","51-9000"
"767","51-9012","51-9010","51-9000","51-9000"
"768","51-9021","51-9020","51-9000","51-9000"
"769","51-9022","51-9020","51-9000","51-9000"
"770","51-9023","51-9020","51-9000","51-9000"
"771","51-9031","51-9030","51-9000","51-9000"
"772","51-9032","51-9030","51-9000","51-9000"
"773","51-9041","51-9040","51-9000","51-9000"
"774","51-9051","51-9050","51-9000","51-9000"
"775","51-9061","51-9060","51-9000","51-9000"
"776","51-9071","51-9070","51-9000","51-9000"
"777","51-9081","51-9080","51-9000","51-9000"
"778","51-9082","51-9080","51-9000","51-9000"
"779","51-9083","51-9080","51-9000","51-9000"
"780","51-9111","51-9110","51-9100","51-9000"
"781","51-9123","51-9120","51-9100","51-9000"
"782","51-9124","51-9120","51-9100","51-9000"
"783","51-9141","51-9140","51-9100","51-9000"
"784","51-9151","51-9150","51-9100","51-9000"
"785","51-9161","51-9160","51-9100","51-9000"
"786","51-9162","51-9160","51-9100","51-9000"
"787","51-9191","51-9190","51-9100","51-9000"
"788","51-9192","51-9190","51-9100","51-9000"
"789","51-9193","51-9190","51-9100","51-9000"
"790","51-9194","51-9190","51-9100","51-9000"
"791","51-9195","51-9190","51-9100","51-9000"
"792","51-9196","51-9190","51-9100","51-9000"
"793","51-9197","51-9190","51-9100","51-9000"
"794","51-9198","51-9190","51-9100","51-9000"
"795","51-9199","51-9190","51-9100","51-9000"
"796","53-1041","53-1040","53-1000","53-1000"
"797","53-1042","53-1040","53-1000","53-1000"
"798","53-1043","53-1040","53-1000","53-1000"
"799","53-1044","53-1040","53-1000","53-1000"
"800","53-1049","53-1040","53-1000","53-1000"
"801","53-2011","53-2010","53-2000","53-2000"
"802","53-2012","53-2010","53-2000","53-2000"
"803","53-2021","53-2020","53-2000","53-2000"
"804","53-2022","53-2020","53-2000","53-2000"
"805","53-2031","53-2030","53-2000","53-2000"
"806","53-3011","53-3010","53-3000","53-3000"
"807","53-3031","53-3030","53-3000","53-3000"
"808","53-3032","53-3030","53-3000","53-3000"
"809","53-3033","53-3030","53-3000","53-3000"
"810","53-3051","53-3050","53-3000","53-3000"
"811","53-3052","53-3050","53-3000","53-3000"
"812","53-3053","53-3050","53-3000","53-3000"
"813","53-3054","53-3050","53-3000","53-3000"
"814","53-3099","53-3090","53-3000","53-3000"
"815","53-4011","53-4010","53-4000","53-4000"
"816","53-4013","53-4010","53-4000","53-4000"
"817","53-4022","53-4020","53-4000","53-4000"
"818","53-4031","53-4030","53-4000","53-4000"
"819","53-4041","53-4040","53-4000","53-4000"
"820","53-4099","53-4090","53-4000","53-4000"
"821","53-5011","53-5010","53-5000","53-5000"
"822","53-5021","53-5020","53-5000","53-5000"
"823","53-5022","53-5020","53-5000","53-5000"
"824","53-5031","53-5030","53-5000","53-5000"
"825","53-6011","53-6010","53-6000","53-6000"
"826","53-6021","53-6020","53-6000","53-6000"
"827","53-6031","53-6030","53-6000","53-6000"
"828","53-6032","53-6030","53-6000","53-6000"
"829","53-6041","53-6040","53-6000","53-6000"
"830","53-6051","53-6050","53-6000","53-6000"
"831","53-6061","53-6060","53-6000","53-6000"
"832","53-6099","53-6090","53-6000","53-6000"
"833","53-7011","53-7010","53-7000","53-7000"
"834","53-7021","53-7020","53-7000","53-7000"
"835","53-7031","53-7030","53-7000","53-7000"
"836","53-7041","53-7040","53-7000","53-7000"
"837","53-7051","53-7050","53-7000","53-7000"
"838","53-7061","53-7060","53-7000","53-7000"
"839","53-7062","53-7060","53-7000","53-7000"
"840","53-7063","53-7060","53-7000","53-7000"
"841","53-7064","53-7060","53-7000","53-7000"
"842","53-7065","53-7060","53-7000","53-7000"
"843","53-7071","53-7070","53-7000","53-7000"
"844","53-7072","53-7070","53-7000","53-7000"
"845","53-7073","53-7070","53-7000","53-7000"
"846","53-7081","53-7080","53-7000","53-7000"
"847","53-7121","53-7120","53-7100","53-7000"
"848","53-7199","53-7190","53-7100","53-7000"
