"","SocCode","Soc_last1","Soc_last2","Soc_last3"
"133","19-1013","19-1010","19-1000","19-1000"
"134","19-1021","19-1020","19-1000","19-1000"
"135","19-1022","19-1020","19-1000","19-1000"
"136","19-1023","19-1020","19-1000","19-1000"
"137","19-1029","19-1020","19-1000","19-1000"
"138","19-1031","19-1030","19-1000","19-1000"
"139","19-1032","19-1030","19-1000","19-1000"
"140","19-1041","19-1040","19-1000","19-1000"
"141","19-1042","19-1040","19-1000","19-1000"
"142","19-1099","19-1090","19-1000","19-1000"
"143","19-2011","19-2010","19-2000","19-2000"
"144","19-2012","19-2010","19-2000","19-2000"
"145","19-2021","19-2020","19-2000","19-2000"
"146","19-2031","19-2030","19-2000","19-2000"
"147","19-2032","19-2030","19-2000","19-2000"
"148","19-2041","19-2040","19-2000","19-2000"
"149","19-2042","19-2040","19-2000","19-2000"
"150","19-2043","19-2040","19-2000","19-2000"
"151","19-2099","19-2090","19-2000","19-2000"
"152","19-3011","19-3010","19-3000","19-3000"
"153","19-3022","19-3020","19-3000","19-3000"
"154","19-3032","19-3030","19-3000","19-3000"
"155","19-3033","19-3030","19-3000","19-3000"
"156","19-3034","19-3030","19-3000","19-3000"
"157","19-3039","19-3030","19-3000","19-3000"
"158","19-3041","19-3040","19-3000","19-3000"
"159","19-3051","19-3050","19-3000","19-3000"
"160","19-3091","19-3090","19-3000","19-3000"
"161","19-3092","19-3090","19-3000","19-3000"
"162","19-3093","19-3090","19-3000","19-3000"
"163","19-3094","19-3090","19-3000","19-3000"
"164","19-3099","19-3090","19-3000","19-3000"
"165","19-4012","19-4010","19-4000","19-4000"
"166","19-4013","19-4010","19-4000","19-4000"
"167","19-4021","19-4020","19-4000","19-4000"
"168","19-4031","19-4030","19-4000","19-4000"
"169","19-4042","19-4040","19-4000","19-4000"
"170","19-4043","19-4040","19-4000","19-4000"
"171","19-4044","19-4040","19-4000","19-4000"
"172","19-4051","19-4050","19-4000","19-4000"
"173","19-4061","19-4060","19-4000","19-4000"
"174","19-4071","19-4070","19-4000","19-4000"
"175","19-4092","19-4090","19-4000","19-4000"
"176","19-4099","19-4090","19-4000","19-4000"
"177","19-5011","19-5010","19-5000","19-5000"
"178","19-5012","19-5010","19-5000","19-5000"
"179","21-1011","21-1010","21-1000","21-1000"
"180","21-1012","21-1010","21-1000","21-1000"
"181","21-1013","21-1010","21-1000","21-1000"
"182","21-1014","21-1010","21-1000","21-1000"
"183","21-1015","21-1010","21-1000","21-1000"
"184","21-1019","21-1010","21-1000","21-1000"
"185","21-1021","21-1020","21-1000","21-1000"
"186","21-1022","21-1020","21-1000","21-1000"
"187","21-1023","21-1020","21-1000","21-1000"
"188","21-1029","21-1020","21-1000","21-1000"
"189","21-1091","21-1090","21-1000","21-1000"
"190","21-1092","21-1090","21-1000","21-1000"
"191","21-1093","21-1090","21-1000","21-1000"
"192","21-1094","21-1090","21-1000","21-1000"
"193","21-1099","21-1090","21-1000","21-1000"
"194","21-2011","21-2010","21-2000","21-2000"
"195","21-2021","21-2020","21-2000","21-2000"
"196","21-2099","21-2090","21-2000","21-2000"
"197","23-1011","23-1010","23-1000","23-1000"
"198","23-1012","23-1010","23-1000","23-1000"
