"","SocCode","n","SOC Broad Occupation","SOC Minor Occupation","OCCSOC","ACS_occupation"
"99","23-1012",533,"23-1010","23-1000","23-1012","23-1012"
"100","23-2011",533,"23-2010","23-2000","23-2011","23-2011"
"101","23-2093",533,"23-2090","23-2000","23-2093","23-2093"
"102","23-2099",533,"23-2090","23-2000","23-2099","23-2099"
"103","25-3041",533,"25-3040","25-3000","25-3041","25-3041"
"104","25-4022",533,"25-4020","25-4000","25-4022","25-4022"
"105","25-4031",533,"25-4030","25-4000","25-4031","25-4031"
"106","27-1021",533,"27-1020","27-1000","27-1021","27-1021"
"107","27-1022",533,"27-1020","27-1000","27-1022","27-1022"
"108","27-1023",533,"27-1020","27-1000","27-1023","27-1023"
"109","27-1024",533,"27-1020","27-1000","27-1024","27-1024"
"110","27-1025",533,"27-1020","27-1000","27-1025","27-1025"
"111","27-1026",533,"27-1020","27-1000","27-1026","27-1026"
"112","27-2011",533,"27-2010","27-2000","27-2011","27-2011"
"113","27-2012",533,"27-2010","27-2000","27-2012","27-2012"
"114","27-2021",533,"27-2020","27-2000","27-2021","27-2021"
"115","27-2022",533,"27-2020","27-2000","27-2022","27-2022"
"116","27-2023",533,"27-2020","27-2000","27-2023","27-2023"
"117","27-2041",533,"27-2040","27-2000","27-2041","27-2041"
"118","27-2042",533,"27-2040","27-2000","27-2042","27-2042"
"119","27-2091",533,"27-2090","27-2000","27-2091","27-2091"
"120","27-2099",533,"27-2090","27-2000","27-2099","27-2099"
"121","27-3011",533,"27-3010","27-3000","27-3011","27-3011"
"122","27-3023",533,"27-3020","27-3000","27-3023","27-3023"
"123","27-3031",533,"27-3030","27-3000","27-3031","27-3031"
"124","27-3041",533,"27-3040","27-3000","27-3041","27-3041"
"125","27-3042",533,"27-3040","27-3000","27-3042","27-3042"
"126","27-3043",533,"27-3040","27-3000","27-3043","27-3043"
"127","27-3091",533,"27-3090","27-3000","27-3091","27-3091"
"128","27-3092",533,"27-3090","27-3000","27-3092","27-3092"
"129","27-3099",533,"27-3090","27-3000","27-3099","27-3099"
"130","27-4021",533,"27-4020","27-4000","27-4021","27-4021"
"131","29-1011",533,"29-1010","29-1000","29-1011","29-1011"
"132","29-1031",533,"29-1030","29-1000","29-1031","29-1031"
"133","29-1041",533,"29-1040","29-1000","29-1041","29-1041"
"134","29-1051",533,"29-1050","29-1000","29-1051","29-1051"
"135","29-1071",533,"29-1070","29-1000","29-1071","29-1071"
"136","29-1081",533,"29-1080","29-1000","29-1081","29-1081"
"137","29-1122",533,"29-1120","29-1000","29-1122","29-1122"
"138","29-1123",533,"29-1120","29-1000","29-1123","29-1123"
"139","29-1124",533,"29-1120","29-1000","29-1124","29-1124"
"140","29-1125",533,"29-1120","29-1000","29-1125","29-1125"
"141","29-1126",533,"29-1120","29-1000","29-1126","29-1126"
"142","29-1127",533,"29-1120","29-1000","29-1127","29-1127"
"143","29-1131",533,"29-1130","29-1000","29-1131","29-1131"
"144","29-1141",533,"29-1140","29-1000","29-1141","29-1141"
"145","29-1151",533,"29-1150","29-1000","29-1151","29-1151"
"146","29-1181",533,"29-1180","29-1000","29-1181","29-1181"
"147","29-1291",533,"29-1290","29-1000","29-1291","29-1291"
"148","29-1292",533,"29-1290","29-1000","29-1292","29-1292"
"149","29-1299",533,"29-1290","29-1000","29-1299","29-1299"
"150","29-2031",533,"29-2030","29-2000","29-2031","29-2031"
"151","29-2032",533,"29-2030","29-2000","29-2032","29-2032"
"152","29-2034",533,"29-2030","29-2000","29-2034","29-2034"
"153","29-2035",533,"29-2030","29-2000","29-2035","29-2035"
"154","29-2042",533,"29-2040","29-2000","29-2042","29-2042"
"155","29-2043",533,"29-2040","29-2000","29-2043","29-2043"
"156","29-2052",533,"29-2050","29-2000","29-2052","29-2052"
"157","29-2053",533,"29-2050","29-2000","29-2053","29-2053"
"158","29-2055",533,"29-2050","29-2000","29-2055","29-2055"
"159","29-2056",533,"29-2050","29-2000","29-2056","29-2056"
"160","29-2061",533,"29-2060","29-2000","29-2061","29-2061"
"161","29-2072",533,"29-2070","29-2000","29-2072","29-2072"
"162","29-2081",533,"29-2080","29-2000","29-2081","29-2081"
"163","31-1121",533,"31-1120","31-1000","31-1121","31-1121"
"164","31-1122",533,"31-1120","31-1000","31-1122","31-1122"
"165","31-1131",533,"31-1130","31-1000","31-1131","31-1131"
"166","31-9011",533,"31-9010","31-9000","31-9011","31-9011"
"167","31-9091",533,"31-9090","31-9000","31-9091","31-9091"
"168","31-9092",533,"31-9090","31-9000","31-9092","31-9092"
"169","31-9094",533,"31-9090","31-9000","31-9094","31-9094"
"170","31-9095",533,"31-9090","31-9000","31-9095","31-9095"
"171","31-9096",533,"31-9090","31-9000","31-9096","31-9096"
"172","31-9097",533,"31-9090","31-9000","31-9097","31-9097"
"173","33-1011",533,"33-1010","33-1000","33-1011","33-1011"
"174","33-1012",533,"33-1010","33-1000","33-1012","33-1012"
"175","33-1021",533,"33-1020","33-1000","33-1021","33-1021"
"176","33-2011",533,"33-2010","33-2000","33-2011","33-2011"
"177","33-3011",533,"33-3010","33-3000","33-3011","33-3011"
"178","33-3012",533,"33-3010","33-3000","33-3012","33-3012"
"179","33-3021",533,"33-3020","33-3000","33-3021","33-3021"
"180","33-9011",533,"33-9010","33-9000","33-9011","33-9011"
"181","33-9021",533,"33-9020","33-9000","33-9021","33-9021"
"182","33-9091",533,"33-9090","33-9000","33-9091","33-9091"
"183","33-9093",533,"33-9090","33-9000","33-9093","33-9093"
"184","33-9094",533,"33-9090","33-9000","33-9094","33-9094"
"185","35-1011",533,"35-1010","35-1000","35-1011","35-1011"
"186","35-1012",533,"35-1010","35-1000","35-1012","35-1012"
"187","35-2021",533,"35-2020","35-2000","35-2021","35-2021"
"188","35-3011",533,"35-3010","35-3000","35-3011","35-3011"
"189","35-3023",533,"35-3020","35-3000","35-3023","35-3023"
"190","35-3031",533,"35-3030","35-3000","35-3031","35-3031"
"191","35-3041",533,"35-3040","35-3000","35-3041","35-3041"
"192","35-9011",533,"35-9010","35-9000","35-9011","35-9011"
"193","35-9021",533,"35-9020","35-9000","35-9021","35-9021"
"194","35-9031",533,"35-9030","35-9000","35-9031","35-9031"
"195","35-9099",533,"35-9090","35-9000","35-9099","35-9099"
"196","37-1011",533,"37-1010","37-1000","37-1011","37-1011"
"197","37-1012",533,"37-1010","37-1000","37-1012","37-1012"
"198","37-2012",533,"37-2010","37-2000","37-2012","37-2012"
"199","37-2021",533,"37-2020","37-2000","37-2021","37-2021"
"200","37-3011",533,"37-3010","37-3000","37-3011","37-3011"
"201","37-3013",533,"37-3010","37-3000","37-3013","37-3013"
"202","39-2011",533,"39-2010","39-2000","39-2011","39-2011"
"203","39-2021",533,"39-2020","39-2000","39-2021","39-2021"
"204","39-3031",533,"39-3030","39-3000","39-3031","39-3031"
"205","39-4031",533,"39-4030","39-4000","39-4031","39-4031"
"206","39-5011",533,"39-5010","39-5000","39-5011","39-5011"
"207","39-5012",533,"39-5010","39-5000","39-5012","39-5012"
"208","39-5092",533,"39-5090","39-5000","39-5092","39-5092"
"209","39-5094",533,"39-5090","39-5000","39-5094","39-5094"
"210","39-9011",533,"39-9010","39-9000","39-9011","39-9011"
"211","39-9031",533,"39-9030","39-9000","39-9031","39-9031"
"212","39-9032",533,"39-9030","39-9000","39-9032","39-9032"
"213","39-9041",533,"39-9040","39-9000","39-9041","39-9041"
"214","39-9099",533,"39-9090","39-9000","39-9099","39-9099"
"215","41-1011",533,"41-1010","41-1000","41-1011","41-1011"
"216","41-1012",533,"41-1010","41-1000","41-1012","41-1012"
"217","41-2021",533,"41-2020","41-2000","41-2021","41-2021"
"218","41-2022",533,"41-2020","41-2000","41-2022","41-2022"
"219","41-2031",533,"41-2030","41-2000","41-2031","41-2031"
"220","41-3011",533,"41-3010","41-3000","41-3011","41-3011"
"221","41-3021",533,"41-3020","41-3000","41-3021","41-3021"
"222","41-3031",533,"41-3030","41-3000","41-3031","41-3031"
"223","41-3041",533,"41-3040","41-3000","41-3041","41-3041"
"224","41-3091",533,"41-3090","41-3000","41-3091","41-3091"
"225","41-9031",533,"41-9030","41-9000","41-9031","41-9031"
"226","41-9041",533,"41-9040","41-9000","41-9041","41-9041"
"227","41-9091",533,"41-9090","41-9000","41-9091","41-9091"
"228","41-9099",533,"41-9090","41-9000","41-9099","41-9099"
"229","43-1011",533,"43-1010","43-1000","43-1011","43-1011"
"230","43-2011",533,"43-2010","43-2000","43-2011","43-2011"
"231","43-2021",533,"43-2020","43-2000","43-2021","43-2021"
"232","43-2099",533,"43-2090","43-2000","43-2099","43-2099"
"233","43-3011",533,"43-3010","43-3000","43-3011","43-3011"
"234","43-3021",533,"43-3020","43-3000","43-3021","43-3021"
"235","43-3031",533,"43-3030","43-3000","43-3031","43-3031"
"236","43-3051",533,"43-3050","43-3000","43-3051","43-3051"
"237","43-3061",533,"43-3060","43-3000","43-3061","43-3061"
"238","43-3071",533,"43-3070","43-3000","43-3071","43-3071"
"239","43-4031",533,"43-4030","43-4000","43-4031","43-4031"
"240","43-4041",533,"43-4040","43-4000","43-4041","43-4041"
"241","43-4051",533,"43-4050","43-4000","43-4051","43-4051"
"242","43-4061",533,"43-4060","43-4000","43-4061","43-4061"
