"","SocCode","n","SOC Broad Occupation","SOC Minor Occupation","OCCSOC","ACS_occupation"
"429","29-2051",533,"29-2050","29-2000","29-205X","29-205X"
"430","29-2052",533,"29-2050","29-2000","29-205X","29-205X"
"431","29-2053",533,"29-2050","29-2000","29-205X","29-205X"
"432","29-2055",533,"29-2050","29-2000","29-205X","29-205X"
"433","29-2056",533,"29-2050","29-2000","29-205X","29-205X"
"434","29-2057",533,"29-2050","29-2000","29-205X","29-205X"
"435","31-1131",533,"31-1130","31-1000","31-113X","31-113X"
"436","31-1132",533,"31-1130","31-1000","31-113X","31-113X"
"437","31-1133",533,"31-1130","31-1000","31-113X","31-113X"
"438","31-9091",533,"31-9090","31-9000","31-909X","31-909X"
"439","31-9092",533,"31-9090","31-9000","31-909X","31-909X"
"440","31-9093",533,"31-9090","31-9000","31-909X","31-909X"
"441","31-9094",533,"31-9090","31-9000","31-909X","31-909X"
"442","31-9095",533,"31-9090","31-9000","31-909X","31-909X"
"443","31-9096",533,"31-9090","31-9000","31-909X","31-909X"
"444","31-9097",533,"31-9090","31-9000","31-909X","31-909X"
"445","31-9099",533,"31-9090","31-9000","31-909X","31-909X"
"446","33-9091",533,"33-9090","33-9000","33-909X","33-909X"
"447","33-9092",533,"33-9090","33-9000","33-909X","33-909X"
"448","33-9093",533,"33-9090","33-9000","33-909X","33-909X"
"449","33-9094",533,"33-9090","33-9000","33-909X","33-909X"
"450","33-9099",533,"33-9090","33-9000","33-909X","33-909X"
"451","37-2011",533,"37-2010","37-2000","37-201X","37-201X"
"452","37-2012",533,"37-2010","37-2000","37-201X","37-201X"
"453","37-2019",533,"37-2010","37-2000","37-201X","37-201X"
"454","37-3011",533,"37-3010","37-3000","37-301X","37-301X"
"455","37-3012",533,"37-3010","37-3000","37-301X","37-301X"
"456","37-3013",533,"37-3010","37-3000","37-301X","37-301X"
"457","37-3019",533,"37-3010","37-3000","37-301X","37-301X"
"458","39-5091",533,"39-5090","39-5000","39-509X","39-509X"
"459","39-5092",533,"39-5090","39-5000","39-509X","39-509X"
"460","39-5093",533,"39-5090","39-5000","39-509X","39-509X"
"461","39-5094",533,"39-5090","39-5000","39-509X","39-509X"
"462","49-2091",533,"49-2090","49-2000","49-209X","49-209X"
"463","49-2092",533,"49-2090","49-2000","49-209X","49-209X"
"464","49-2093",533,"49-2090","49-2000","49-209X","49-209X"
"465","49-2094",533,"49-2090","49-2000","49-209X","49-209X"
"466","49-2095",533,"49-2090","49-2000","49-209X","49-209X"
"467","49-2096",533,"49-2090","49-2000","49-209X","49-209X"
"468","49-2097",533,"49-2090","49-2000","49-209X","49-209X"
"469","49-2098",533,"49-2090","49-2000","49-209X","49-209X"
"470","49-9041",533,"49-9040","49-9000","49-904X","49-904X"
"471","49-9043",533,"49-9040","49-9000","49-904X","49-904X"
"472","49-9044",533,"49-9040","49-9000","49-904X","49-904X"
"473","49-9045",533,"49-9040","49-9000","49-904X","49-904X"
"474","51-4031",533,"51-4030","51-4000","51-403X","51-403X"
"475","51-4032",533,"51-4030","51-4000","51-403X","51-403X"
"476","51-4033",533,"51-4030","51-4000","51-403X","51-403X"
"477","51-4034",533,"51-4030","51-4000","51-403X","51-403X"
"478","51-4035",533,"51-4030","51-4000","51-403X","51-403X"
"479","51-6091",533,"51-6090","51-6000","51-609X","51-609X"
"480","51-6092",533,"51-6090","51-6000","51-609X","51-609X"
"481","51-6093",533,"51-6090","51-6000","51-609X","51-609X"
"482","51-6099",533,"51-6090","51-6000","51-609X","51-609X"
"483","11-1011",533,"11-1010","11-1000","11-10XX","11-10XX"
"484","11-1021",533,"11-1020","11-1000","11-10XX","11-10XX"
"485","11-1031",533,"11-1030","11-1000","11-10XX","11-10XX"
"486","13-2011",533,"13-2010","13-2000","13-20XX","13-20XX"
"487","13-2022",533,"13-2020","13-2000","13-20XX","13-20XX"
"488","13-2023",533,"13-2020","13-2000","13-20XX","13-20XX"
"489","13-2031",533,"13-2030","13-2000","13-20XX","13-20XX"
"490","13-2041",533,"13-2040","13-2000","13-20XX","13-20XX"
"491","13-2051",533,"13-2050","13-2000","13-20XX","13-20XX"
"492","13-2052",533,"13-2050","13-2000","13-20XX","13-20XX"
"493","13-2053",533,"13-2050","13-2000","13-20XX","13-20XX"
"494","13-2054",533,"13-2050","13-2000","13-20XX","13-20XX"
"495","13-2061",533,"13-2060","13-2000","13-20XX","13-20XX"
"496","13-2071",533,"13-2070","13-2000","13-20XX","13-20XX"
"497","13-2072",533,"13-2070","13-2000","13-20XX","13-20XX"
"498","13-2081",533,"13-2080","13-2000","13-20XX","13-20XX"
"499","13-2082",533,"13-2080","13-2000","13-20XX","13-20XX"
"500","13-2099",533,"13-2090","13-2000","13-20XX","13-20XX"
"501","15-2011",533,"15-2010","15-2000","15-20XX","15-20XX"
"502","15-2021",533,"15-2020","15-2000","15-20XX","15-20XX"
"503","15-2031",533,"15-2030","15-2000","15-20XX","15-20XX"
"504","15-2041",533,"15-2040","15-2000","15-20XX","15-20XX"
"505","15-2051",533,"15-2050","15-2000","15-20XX","15-20XX"
"506","15-2099",533,"15-2090","15-2000","15-20XX","15-20XX"
"507","17-2011",533,"17-2010","17-2000","17-20XX","17-20XX"
"508","17-2021",533,"17-2020","17-2000","17-20XX","17-20XX"
"509","17-2031",533,"17-2030","17-2000","17-20XX","17-20XX"
"510","17-2041",533,"17-2040","17-2000","17-20XX","17-20XX"
"511","17-2051",533,"17-2050","17-2000","17-20XX","17-20XX"
"512","17-2061",533,"17-2060","17-2000","17-20XX","17-20XX"
"513","17-2071",533,"17-2070","17-2000","17-20XX","17-20XX"
"514","17-2072",533,"17-2070","17-2000","17-20XX","17-20XX"
"515","17-2081",533,"17-2080","17-2000","17-20XX","17-20XX"
"516","17-2111",533,"17-2110","17-2000","17-20XX","17-20XX"
"517","17-2112",533,"17-2110","17-2000","17-20XX","17-20XX"
"518","17-2121",533,"17-2120","17-2000","17-20XX","17-20XX"
"519","17-2131",533,"17-2130","17-2000","17-20XX","17-20XX"
"520","17-2141",533,"17-2140","17-2000","17-20XX","17-20XX"
"521","17-2151",533,"17-2150","17-2000","17-20XX","17-20XX"
"522","17-2161",533,"17-2160","17-2000","17-20XX","17-20XX"
"523","17-2171",533,"17-2170","17-2000","17-20XX","17-20XX"
"524","17-2199",533,"17-2190","17-2000","17-20XX","17-20XX"
"525","19-1011",533,"19-1010","19-1000","19-10XX","19-10XX"
"526","19-1012",533,"19-1010","19-1000","19-10XX","19-10XX"
"527","19-1013",533,"19-1010","19-1000","19-10XX","19-10XX"
"528","19-1021",533,"19-1020","19-1000","19-10XX","19-10XX"
"529","19-1022",533,"19-1020","19-1000","19-10XX","19-10XX"
"530","19-1023",533,"19-1020","19-1000","19-10XX","19-10XX"
"531","19-1029",533,"19-1020","19-1000","19-10XX","19-10XX"
"532","19-1031",533,"19-1030","19-1000","19-10XX","19-10XX"
"533","19-1032",533,"19-1030","19-1000","19-10XX","19-10XX"
"534","19-1041",533,"19-1040","19-1000","19-10XX","19-10XX"
"535","19-1042",533,"19-1040","19-1000","19-10XX","19-10XX"
"536","19-1099",533,"19-1090","19-1000","19-10XX","19-10XX"
"537","19-3011",533,"19-3010","19-3000","19-30XX","19-30XX"
"538","19-3022",533,"19-3020","19-3000","19-30XX","19-30XX"
"539","19-3032",533,"19-3030","19-3000","19-30XX","19-30XX"
"540","19-3033",533,"19-3030","19-3000","19-30XX","19-30XX"
"541","19-3034",533,"19-3030","19-3000","19-30XX","19-30XX"
"542","19-3039",533,"19-3030","19-3000","19-30XX","19-30XX"
"543","19-3041",533,"19-3040","19-3000","19-30XX","19-30XX"
"544","19-3051",533,"19-3050","19-3000","19-30XX","19-30XX"
"545","19-3091",533,"19-3090","19-3000","19-30XX","19-30XX"
"546","19-3092",533,"19-3090","19-3000","19-30XX","19-30XX"
"547","19-3093",533,"19-3090","19-3000","19-30XX","19-30XX"
"548","19-3094",533,"19-3090","19-3000","19-30XX","19-30XX"
"549","19-3099",533,"19-3090","19-3000","19-30XX","19-30XX"
"550","19-4012",533,"19-4010","19-4000","19-40XX","19-40XX"
"551","19-4013",533,"19-4010","19-4000","19-40XX","19-40XX"
"552","19-4021",533,"19-4020","19-4000","19-40XX","19-40XX"
"553","19-4031",533,"19-4030","19-4000","19-40XX","19-40XX"
"554","19-4042",533,"19-4040","19-4000","19-40XX","19-40XX"
"555","19-4043",533,"19-4040","19-4000","19-40XX","19-40XX"
"556","19-4044",533,"19-4040","19-4000","19-40XX","19-40XX"
"557","19-4051",533,"19-4050","19-4000","19-40XX","19-40XX"
"558","19-4061",533,"19-4060","19-4000","19-40XX","19-40XX"
"559","19-4071",533,"19-4070","19-4000","19-40XX","19-40XX"
"560","19-4092",533,"19-4090","19-4000","19-40XX","19-40XX"
"561","19-4099",533,"19-4090","19-4000","19-40XX","19-40XX"
"562","23-1011",533,"23-1010","23-1000","23-10XX","23-10XX"
"563","23-1012",533,"23-1010","23-1000","23-10XX","23-10XX"
"564","23-1021",533,"23-1020","23-1000","23-10XX","23-10XX"
"565","23-1022",533,"23-1020","23-1000","23-10XX","23-10XX"
"566","23-1023",533,"23-1020","23-1000","23-10XX","23-10XX"
"567","25-3011",533,"25-3010","25-3000","25-30XX","25-30XX"
"568","25-3021",533,"25-3020","25-3000","25-30XX","25-30XX"
"569","25-3031",533,"25-3030","25-3000","25-30XX","25-30XX"
"570","25-3041",533,"25-3040","25-3000","25-30XX","25-30XX"
"571","25-3099",533,"25-3090","25-3000","25-30XX","25-30XX"
"572","25-9021",533,"25-9020","25-9000","25-90XX","25-90XX"
"573","25-9031",533,"25-9030","25-9000","25-90XX","25-90XX"
"574","25-9042",533,"25-9040","25-9000","25-90XX","25-90XX"
"575","25-9043",533,"25-9040","25-9000","25-90XX","25-90XX"
"576","25-9044",533,"25-9040","25-9000","25-90XX","25-90XX"
"577","25-9049",533,"25-9040","25-9000","25-90XX","25-90XX"
"578","25-9099",533,"25-9090","25-9000","25-90XX","25-90XX"
"579","27-4011",533,"27-4010","27-4000","27-40XX","27-40XX"
"580","27-4012",533,"27-4010","27-4000","27-40XX","27-40XX"
"581","27-4014",533,"27-4010","27-4000","27-40XX","27-40XX"
"582","27-4015",533,"27-4010","27-4000","27-40XX","27-40XX"
"583","27-4021",533,"27-4020","27-4000","27-40XX","27-40XX"
"584","27-4031",533,"27-4030","27-4000","27-40XX","27-40XX"
"585","27-4032",533,"27-4030","27-4000","27-40XX","27-40XX"
"586","27-4099",533,"27-4090","27-4000","27-40XX","27-40XX"
"587","33-3011",533,"33-3010","33-3000","33-30XX","33-30XX"
"588","33-3012",533,"33-3010","33-3000","33-30XX","33-30XX"
"589","33-3021",533,"33-3020","33-3000","33-30XX","33-30XX"
"590","33-3031",533,"33-3030","33-3000","33-30XX","33-30XX"
"591","33-3041",533,"33-3040","33-3000","33-30XX","33-30XX"
"592","33-3051",533,"33-3050","33-3000","33-30XX","33-30XX"
"593","33-3052",533,"33-3050","33-3000","33-30XX","33-30XX"
"594","39-3011",533,"39-3010","39-3000","39-30XX","39-30XX"
"595","39-3012",533,"39-3010","39-3000","39-30XX","39-30XX"
"596","39-3019",533,"39-3010","39-3000","39-30XX","39-30XX"
"597","39-3021",533,"39-3020","39-3000","39-30XX","39-30XX"
"598","39-3031",533,"39-3030","39-3000","39-30XX","39-30XX"
"599","39-3091",533,"39-3090","39-3000","39-30XX","39-30XX"
"600","39-3092",533,"39-3090","39-3000","39-30XX","39-30XX"
"601","39-3093",533,"39-3090","39-3000","39-30XX","39-30XX"
"602","39-3099",533,"39-3090","39-3000","39-30XX","39-30XX"
"603","39-4011",533,"39-4010","39-4000","39-40XX","39-40XX"
"604","39-4012",533,"39-4010","39-4000","39-40XX","39-40XX"
"605","39-4021",533,"39-4020","39-4000","39-40XX","39-40XX"
"606","39-4031",533,"39-4030","39-4000","39-40XX","39-40XX"
"607","43-3011",533,"43-3010","43-3000","43-30XX","43-30XX"
"608","43-3021",533,"43-3020","43-3000","43-30XX","43-30XX"
"609","43-3031",533,"43-3030","43-3000","43-30XX","43-30XX"
"610","43-3041",533,"43-3040","43-3000","43-30XX","43-30XX"
"611","43-3051",533,"43-3050","43-3000","43-30XX","43-30XX"
"612","43-3061",533,"43-3060","43-3000","43-30XX","43-30XX"
"613","43-3071",533,"43-3070","43-3000","43-30XX","43-30XX"
"614","43-3099",533,"43-3090","43-3000","43-30XX","43-30XX"
"615","45-2011",533,"45-2010","45-2000","45-20XX","45-20XX"
"616","45-2021",533,"45-2020","45-2000","45-20XX","45-20XX"
"617","45-2041",533,"45-2040","45-2000","45-20XX","45-20XX"
"618","45-2091",533,"45-2090","45-2000","45-20XX","45-20XX"
"619","45-2092",533,"45-2090","45-2000","45-20XX","45-20XX"
"620","45-2093",533,"45-2090","45-2000","45-20XX","45-20XX"
"621","45-2099",533,"45-2090","45-2000","45-20XX","45-20XX"
"622","47-4011",533,"47-4010","47-4000","47-40XX","47-40XX"
"623","47-4021",533,"47-4020","47-4000","47-40XX","47-40XX"
"624","47-4031",533,"47-4030","47-4000","47-40XX","47-40XX"
"625","47-4041",533,"47-4040","47-4000","47-40XX","47-40XX"
"626","47-4051",533,"47-4050","47-4000","47-40XX","47-40XX"
"627","47-4061",533,"47-4060","47-4000","47-40XX","47-40XX"
"628","47-4071",533,"47-4070","47-4000","47-40XX","47-40XX"
"629","47-4091",533,"47-4090","47-4000","47-40XX","47-40XX"
"630","47-4099",533,"47-4090","47-4000","47-40XX","47-40XX"
"631","47-5011",533,"47-5010","47-5000","47-50XX","47-50XX"
"632","47-5012",533,"47-5010","47-5000","47-50XX","47-50XX"
"633","47-5013",533,"47-5010","47-5000","47-50XX","47-50XX"
"634","47-5022",533,"47-5020","47-5000","47-50XX","47-50XX"
"635","47-5023",533,"47-5020","47-5000","47-50XX","47-50XX"
"636","47-5032",533,"47-5030","47-5000","47-50XX","47-50XX"
"637","47-5041",533,"47-5040","47-5000","47-50XX","47-50XX"
"638","47-5043",533,"47-5040","47-5000","47-50XX","47-50XX"
"639","47-5044",533,"47-5040","47-5000","47-50XX","47-50XX"
"640","47-5049",533,"47-5040","47-5000","47-50XX","47-50XX"
"641","47-5051",533,"47-5050","47-5000","47-50XX","47-50XX"
"642","47-5071",533,"47-5070","47-5000","47-50XX","47-50XX"
"643","47-5081",533,"47-5080","47-5000","47-50XX","47-50XX"
"644","47-5099",533,"47-5090","47-5000","47-50XX","47-50XX"
"645","49-9011",533,"49-9010","49-9000","49-90XX","49-90XX"
"646","49-9012",533,"49-9010","49-9000","49-90XX","49-90XX"
"647","49-9021",533,"49-9020","49-9000","49-90XX","49-90XX"
"648","49-9031",533,"49-9030","49-9000","49-90XX","49-90XX"
"649","49-9041",533,"49-9040","49-9000","49-90XX","49-90XX"
"650","49-9043",533,"49-9040","49-9000","49-90XX","49-90XX"
"651","49-9044",533,"49-9040","49-9000","49-90XX","49-90XX"
"652","49-9045",533,"49-9040","49-9000","49-90XX","49-90XX"
"653","49-9051",533,"49-9050","49-9000","49-90XX","49-90XX"
"654","49-9052",533,"49-9050","49-9000","49-90XX","49-90XX"
"655","49-9061",533,"49-9060","49-9000","49-90XX","49-90XX"
"656","49-9062",533,"49-9060","49-9000","49-90XX","49-90XX"
"657","49-9063",533,"49-9060","49-9000","49-90XX","49-90XX"
"658","49-9064",533,"49-9060","49-9000","49-90XX","49-90XX"
"659","49-9069",533,"49-9060","49-9000","49-90XX","49-90XX"
"660","49-9071",533,"49-9070","49-9000","49-90XX","49-90XX"
"661","49-9081",533,"49-9080","49-9000","49-90XX","49-90XX"
"662","49-9091",533,"49-9090","49-9000","49-90XX","49-90XX"
"663","49-9092",533,"49-9090","49-9000","49-90XX","49-90XX"
"664","49-9094",533,"49-9090","49-9000","49-90XX","49-90XX"
"665","49-9095",533,"49-9090","49-9000","49-90XX","49-90XX"
"666","49-9096",533,"49-9090","49-9000","49-90XX","49-90XX"
"667","49-9097",533,"49-9090","49-9000","49-90XX","49-90XX"
"668","49-9098",533,"49-9090","49-9000","49-90XX","49-90XX"
"669","49-9099",533,"49-9090","49-9000","49-90XX","49-90XX"
"670","51-2011",533,"51-2010","51-2000","51-20XX","51-20XX"
"671","51-2021",533,"51-2020","51-2000","51-20XX","51-20XX"
"672","51-2022",533,"51-2020","51-2000","51-20XX","51-20XX"
"673","51-2023",533,"51-2020","51-2000","51-20XX","51-20XX"
"674","51-2031",533,"51-2030","51-2000","51-20XX","51-20XX"
"675","51-2041",533,"51-2040","51-2000","51-20XX","51-20XX"
"676","51-2051",533,"51-2050","51-2000","51-20XX","51-20XX"
"677","51-2061",533,"51-2060","51-2000","51-20XX","51-20XX"
"678","51-2092",533,"51-2090","51-2000","51-20XX","51-20XX"
"679","51-2099",533,"51-2090","51-2000","51-20XX","51-20XX"
"680","51-4021",533,"51-4020","51-4000","51-40XX","51-40XX"
"681","51-4022",533,"51-4020","51-4000","51-40XX","51-40XX"
"682","51-4023",533,"51-4020","51-4000","51-40XX","51-40XX"
"683","51-4031",533,"51-4030","51-4000","51-40XX","51-40XX"
"684","51-4032",533,"51-4030","51-4000","51-40XX","51-40XX"
"685","51-4033",533,"51-4030","51-4000","51-40XX","51-40XX"
"686","51-4034",533,"51-4030","51-4000","51-40XX","51-40XX"
"687","51-4035",533,"51-4030","51-4000","51-40XX","51-40XX"
"688","51-4041",533,"51-4040","51-4000","51-40XX","51-40XX"
"689","51-4051",533,"51-4050","51-4000","51-40XX","51-40XX"
"690","51-4052",533,"51-4050","51-4000","51-40XX","51-40XX"
"691","51-4061",533,"51-4060","51-4000","51-40XX","51-40XX"
"692","51-4062",533,"51-4060","51-4000","51-40XX","51-40XX"
"693","51-4071",533,"51-4070","51-4000","51-40XX","51-40XX"
"694","51-4072",533,"51-4070","51-4000","51-40XX","51-40XX"
"695","51-4081",533,"51-4080","51-4000","51-40XX","51-40XX"
"696","51-4111",533,"51-4110","51-4000","51-40XX","51-40XX"
"697","51-4121",533,"51-4120","51-4000","51-40XX","51-40XX"
"698","51-4122",533,"51-4120","51-4000","51-40XX","51-40XX"
"699","51-4191",533,"51-4190","51-4000","51-40XX","51-40XX"
"700","51-4192",533,"51-4190","51-4000","51-40XX","51-40XX"
"701","51-4193",533,"51-4190","51-4000","51-40XX","51-40XX"
"702","51-4194",533,"51-4190","51-4000","51-40XX","51-40XX"
"703","51-4199",533,"51-4190","51-4000","51-40XX","51-40XX"
"704","51-7011",533,"51-7010","51-7000","51-70XX","51-70XX"
"705","51-7021",533,"51-7020","51-7000","51-70XX","51-70XX"
"706","51-7031",533,"51-7030","51-7000","51-70XX","51-70XX"
"707","51-7032",533,"51-7030","51-7000","51-70XX","51-70XX"
"708","51-7041",533,"51-7040","51-7000","51-70XX","51-70XX"
"709","51-7042",533,"51-7040","51-7000","51-70XX","51-70XX"
"710","51-7099",533,"51-7090","51-7000","51-70XX","51-70XX"
"711","53-4011",533,"53-4010","53-4000","53-40XX","53-40XX"
"712","53-4013",533,"53-4010","53-4000","53-40XX","53-40XX"
"713","53-4022",533,"53-4020","53-4000","53-40XX","53-40XX"
"714","53-4031",533,"53-4030","53-4000","53-40XX","53-40XX"
"715","53-4041",533,"53-4040","53-4000","53-40XX","53-40XX"
"716","53-4099",533,"53-4090","53-4000","53-40XX","53-40XX"
"717","53-5011",533,"53-5010","53-5000","53-50XX","53-50XX"
"718","53-5021",533,"53-5020","53-5000","53-50XX","53-50XX"
"719","53-5022",533,"53-5020","53-5000","53-50XX","53-50XX"
"720","53-5031",533,"53-5030","53-5000","53-50XX","53-50XX"
"721","53-6011",533,"53-6010","53-6000","53-60XX","53-60XX"
"722","53-6021",533,"53-6020","53-6000","53-60XX","53-60XX"
"723","53-6031",533,"53-6030","53-6000","53-60XX","53-60XX"
"724","53-6032",533,"53-6030","53-6000","53-60XX","53-60XX"
"725","53-6041",533,"53-6040","53-6000","53-60XX","53-60XX"
"726","53-6051",533,"53-6050","53-6000","53-60XX","53-60XX"
"727","53-6061",533,"53-6060","53-6000","53-60XX","53-60XX"
"728","53-6099",533,"53-6090","53-6000","53-60XX","53-60XX"
"729","53-7011",533,"53-7010","53-7000","53-70XX","53-70XX"
"730","53-7021",533,"53-7020","53-7000","53-70XX","53-70XX"
"731","53-7031",533,"53-7030","53-7000","53-70XX","53-70XX"
"732","53-7041",533,"53-7040","53-7000","53-70XX","53-70XX"
"733","53-7051",533,"53-7050","53-7000","53-70XX","53-70XX"
"734","53-7061",533,"53-7060","53-7000","53-70XX","53-70XX"
"735","53-7062",533,"53-7060","53-7000","53-70XX","53-70XX"
"736","53-7063",533,"53-7060","53-7000","53-70XX","53-70XX"
"737","53-7064",533,"53-7060","53-7000","53-70XX","53-70XX"
"738","53-7065",533,"53-7060","53-7000","53-70XX","53-70XX"
"739","53-7071",533,"53-7070","53-7000","53-70XX","53-70XX"
"740","53-7072",533,"53-7070","53-7000","53-70XX","53-70XX"
"741","53-7073",533,"53-7070","53-7000","53-70XX","53-70XX"
"742","53-7081",533,"53-7080","53-7000","53-70XX","53-70XX"
"743","53-7121",533,"53-7120","53-7000","53-70XX","53-70XX"
"744","53-7199",533,"53-7190","53-7000","53-70XX","53-70XX"
"745","43-4011",533,"43-4010","43-4000","43-4XXX","43-4XXX"
"746","43-4021",533,"43-4020","43-4000","43-4XXX","43-4XXX"
"747","43-4031",533,"43-4030","43-4000","43-4XXX","43-4XXX"
"748","43-4041",533,"43-4040","43-4000","43-4XXX","43-4XXX"
"749","43-4051",533,"43-4050","43-4000","43-4XXX","43-4XXX"
"750","43-4061",533,"43-4060","43-4000","43-4XXX","43-4XXX"
"751","43-4071",533,"43-4070","43-4000","43-4XXX","43-4XXX"
"752","43-4081",533,"43-4080","43-4000","43-4XXX","43-4XXX"
"753","43-4111",533,"43-4110","43-4000","43-4XXX","43-4XXX"
"754","43-4121",533,"43-4120","43-4000","43-4XXX","43-4XXX"
"755","43-4131",533,"43-4130","43-4000","43-4XXX","43-4XXX"
"756","43-4141",533,"43-4140","43-4000","43-4XXX","43-4XXX"
"757","43-4151",533,"43-4150","43-4000","43-4XXX","43-4XXX"
"758","43-4161",533,"43-4160","43-4000","43-4XXX","43-4XXX"
"759","43-4171",533,"43-4170","43-4000","43-4XXX","43-4XXX"
"760","43-4181",533,"43-4180","43-4000","43-4XXX","43-4XXX"
"761","43-4199",533,"43-4190","43-4000","43-4XXX","43-4XXX"
"762","43-9021",533,"43-9020","43-9000","43-9XXX","43-9XXX"
"763","43-9022",533,"43-9020","43-9000","43-9XXX","43-9XXX"
"764","43-9031",533,"43-9030","43-9000","43-9XXX","43-9XXX"
"765","43-9041",533,"43-9040","43-9000","43-9XXX","43-9XXX"
"766","43-9051",533,"43-9050","43-9000","43-9XXX","43-9XXX"
"767","43-9061",533,"43-9060","43-9000","43-9XXX","43-9XXX"
"768","43-9071",533,"43-9070","43-9000","43-9XXX","43-9XXX"
"769","43-9081",533,"43-9080","43-9000","43-9XXX","43-9XXX"
"770","43-9111",533,"43-9110","43-9000","43-9XXX","43-9XXX"
"771","43-9199",533,"43-9190","43-9000","43-9XXX","43-9XXX"
"772","47-2011",533,"47-2010","47-2000","47-2XXX","47-2XXX"
"773","47-2021",533,"47-2020","47-2000","47-2XXX","47-2XXX"
"774","47-2022",533,"47-2020","47-2000","47-2XXX","47-2XXX"
"775","47-2031",533,"47-2030","47-2000","47-2XXX","47-2XXX"
"776","47-2041",533,"47-2040","47-2000","47-2XXX","47-2XXX"
"777","47-2042",533,"47-2040","47-2000","47-2XXX","47-2XXX"
"778","47-2043",533,"47-2040","47-2000","47-2XXX","47-2XXX"
"779","47-2044",533,"47-2040","47-2000","47-2XXX","47-2XXX"
"780","47-2051",533,"47-2050","47-2000","47-2XXX","47-2XXX"
"781","47-2053",533,"47-2050","47-2000","47-2XXX","47-2XXX"
"782","47-2061",533,"47-2060","47-2000","47-2XXX","47-2XXX"
"783","47-2071",533,"47-2070","47-2000","47-2XXX","47-2XXX"
"784","47-2072",533,"47-2070","47-2000","47-2XXX","47-2XXX"
"785","47-2073",533,"47-2070","47-2000","47-2XXX","47-2XXX"
"786","47-2081",533,"47-2080","47-2000","47-2XXX","47-2XXX"
"787","47-2082",533,"47-2080","47-2000","47-2XXX","47-2XXX"
"788","47-2111",533,"47-2110","47-2000","47-2XXX","47-2XXX"
"789","47-2121",533,"47-2120","47-2000","47-2XXX","47-2XXX"
"790","47-2131",533,"47-2130","47-2000","47-2XXX","47-2XXX"
"791","47-2132",533,"47-2130","47-2000","47-2XXX","47-2XXX"
"792","47-2141",533,"47-2140","47-2000","47-2XXX","47-2XXX"
"793","47-2142",533,"47-2140","47-2000","47-2XXX","47-2XXX"
"794","47-2151",533,"47-2150","47-2000","47-2XXX","47-2XXX"
"795","47-2152",533,"47-2150","47-2000","47-2XXX","47-2XXX"
"796","47-2161",533,"47-2160","47-2000","47-2XXX","47-2XXX"
"797","47-2171",533,"47-2170","47-2000","47-2XXX","47-2XXX"
"798","47-2181",533,"47-2180","47-2000","47-2XXX","47-2XXX"
"799","47-2211",533,"47-2210","47-2000","47-2XXX","47-2XXX"
"800","47-2221",533,"47-2220","47-2000","47-2XXX","47-2XXX"
"801","47-2231",533,"47-2230","47-2000","47-2XXX","47-2XXX"
"802","51-4021",533,"51-4020","51-4000","51-4XXX","51-4XXX"
"803","51-4022",533,"51-4020","51-4000","51-4XXX","51-4XXX"
"804","51-4023",533,"51-4020","51-4000","51-4XXX","51-4XXX"
"805","51-4031",533,"51-4030","51-4000","51-4XXX","51-4XXX"
"806","51-4032",533,"51-4030","51-4000","51-4XXX","51-4XXX"
"807","51-4033",533,"51-4030","51-4000","51-4XXX","51-4XXX"
"808","51-4034",533,"51-4030","51-4000","51-4XXX","51-4XXX"
"809","51-4035",533,"51-4030","51-4000","51-4XXX","51-4XXX"
"810","51-4041",533,"51-4040","51-4000","51-4XXX","51-4XXX"
"811","51-4051",533,"51-4050","51-4000","51-4XXX","51-4XXX"
"812","51-4052",533,"51-4050","51-4000","51-4XXX","51-4XXX"
"813","51-4061",533,"51-4060","51-4000","51-4XXX","51-4XXX"
"814","51-4062",533,"51-4060","51-4000","51-4XXX","51-4XXX"
"815","51-4071",533,"51-4070","51-4000","51-4XXX","51-4XXX"
"816","51-4072",533,"51-4070","51-4000","51-4XXX","51-4XXX"
"817","51-4081",533,"51-4080","51-4000","51-4XXX","51-4XXX"
"818","51-4111",533,"51-4110","51-4000","51-4XXX","51-4XXX"
"819","51-4121",533,"51-4120","51-4000","51-4XXX","51-4XXX"
"820","51-4122",533,"51-4120","51-4000","51-4XXX","51-4XXX"
"821","51-4191",533,"51-4190","51-4000","51-4XXX","51-4XXX"
"822","51-4192",533,"51-4190","51-4000","51-4XXX","51-4XXX"
"823","51-4193",533,"51-4190","51-4000","51-4XXX","51-4XXX"
"824","51-4194",533,"51-4190","51-4000","51-4XXX","51-4XXX"
"825","51-4199",533,"51-4190","51-4000","51-4XXX","51-4XXX"
"826","11-9131",533,"11-9130","11-9000","11-91XX","11-91XX"
"827","11-9171",533,"11-9170","11-9000","11-91XX","11-91XX"
"828","11-9179",533,"11-9170","11-9000","11-91XX","11-91XX"
"829","11-9199",533,"11-9190","11-9000","11-91XX","11-91XX"
"830","29-1161",533,"29-1160","29-1000","29-11XX","29-11XX"
"831","29-1171",533,"29-1170","29-1000","29-11XX","29-11XX"
"832","29-1221",533,"29-1220","29-1000","29-12XX","29-12XX"
"833","29-1222",533,"29-1220","29-1000","29-12XX","29-12XX"
"834","29-1223",533,"29-1220","29-1000","29-12XX","29-12XX"
"835","29-1224",533,"29-1220","29-1000","29-12XX","29-12XX"
"836","29-1229",533,"29-1220","29-1000","29-12XX","29-12XX"
